dataset,global_step,loss,lr,grad_norm,total_tokens,supervised_tokens,max_seqlen_q,optimizer_mode
ultrachat_200k,20,3.7397303248755636,4e-07,44.28219985961914,3116314,2370126,3072,fp32-master
ultrachat_200k,40,2.5638934845570476,8e-07,10.420172691345215,3064457,2358245,3072,fp32-master
ultrachat_200k,60,1.507546255341731,1.2e-06,2.5380940437316895,3100500,2381193,3072,fp32-master
ultrachat_200k,80,1.2287938247085548,1.6e-06,1.6581509113311768,3066476,2358905,3072,fp32-master
ultrachat_200k,100,1.1376570274936966,2e-06,1.5152114629745483,3085206,2342601,3072,fp32-master
ultrachat_200k,120,1.1011886272928677,2.4e-06,1.5213614702224731,3056851,2325780,3072,fp32-master
ultrachat_200k,140,1.0807666506472742,2.8e-06,1.6029976606369019,3077527,2357839,3072,fp32-master
ultrachat_200k,160,1.051222730227164,3.2e-06,1.5179532766342163,3117583,2406357,3072,fp32-master
ultrachat_200k,180,1.043838672855054,3.6e-06,1.7880727052688599,3079919,2349636,3072,fp32-master
ultrachat_200k,200,1.025933103391435,4e-06,1.5775099992752075,3075680,2350062,3072,fp32-master
ultrachat_200k,220,1.028819074758212,3.999989999749993e-06,1.6492347717285156,3113079,2384628,3072,fp32-master
ultrachat_200k,240,1.0165554409613833,3.999979999499987e-06,1.3464218378067017,3117961,2394594,3072,fp32-master
ultrachat_200k,260,1.015416649056715,3.9999699992499805e-06,1.4227781295776367,3024496,2298345,3072,fp32-master
ultrachat_200k,280,1.005071158177452,3.999959998999975e-06,1.523470163345337,3105659,2389469,3072,fp32-master
ultrachat_200k,300,0.9982215673051542,3.999949998749969e-06,1.4091060161590576,3033554,2318158,3072,fp32-master
